Household_ID,Hour,Energy_Consumption_kWh
1,0,119.51395101828409
1,1,246.38784062186943
1,2,99.05581948180804
1,3,251.23325476099743
1,4,144.15934858685785
1,5,260.6497850475064
1,6,114.89958113939396
1,7,55.650900966142956
1,8,175.39704002298737
1,9,203.21278874524037
1,10,284.86946986951773
1,11,108.14501193162056
1,12,218.6887906420887
1,13,203.85344923292712
1,14,69.64484765693994
1,15,58.29728713709399
1,16,231.2924285666351
1,17,164.88199549026038
1,18,135.28968798607187
1,19,86.22522296242795
1,20,274.2352862083743
1,21,105.6667270340183
1,22,199.74038022889792
1,23,88.98367603930362
2,0,241.9156737375659
2,1,256.70389570986987
2,2,281.86111785116486
2,3,217.6448036795138
2,4,97.7832995327099
2,5,84.43847835529517
2,6,125.07307162730109
2,7,206.74905349221902
2,8,191.81117113761871
2,9,254.21518209390115
2,10,189.80239045426285
2,11,248.61718734510333
2,12,80.99249181640897
2,13,190.85888993920645
2,14,78.60518443452776
2,15,57.584988663060344
2,16,197.06552260578133
2,17,71.0759777896663
2,18,92.61275631806456
2,19,242.19858647457133
2,20,205.29921079767792
2,21,146.00992117443184
2,22,119.79991248185303
2,23,154.4053476352065
3,0,264.60417940942597
3,1,143.9302323967376
3,2,131.9168707051399
3,3,121.37591100513563
3,4,206.13290541141276
3,5,231.109737553567
3,6,221.62589941973798
3,7,216.48541402823662
3,8,277.7516732482187
3,9,294.2428698054922
3,10,80.11830696729395
3,11,160.5295082700146
3,12,140.3379785581365
3,13,248.35840486731323
3,14,91.97554005949841
3,15,250.4775913068133
3,16,285.46749040741804
3,17,163.59957602620923
3,18,157.57453765002322
3,19,223.25693345412554
3,20,240.80888737918303
3,21,155.58539774417056
3,22,236.70041705890876
3,23,270.19721492357127
4,0,196.89241538605853
4,1,90.8388747087989
4,2,202.41636366118107
4,3,263.38843666370343
4,4,281.108240283222
4,5,137.0142136799991
4,6,197.52931198990782
4,7,274.6391297433405
4,8,185.94140792697888
4,9,183.54472889763966
4,10,93.12034774844784
4,11,243.91362828247398
4,12,243.07976481504988
4,13,150.14912391871192
4,14,162.83078250732126
4,15,231.125047723057
4,16,82.0975190621424
4,17,280.2427672780628
4,18,217.11883046269952
4,19,57.31830470087066
4,20,262.9969501020746
4,21,111.63457117739284
4,22,52.23019159091658
4,23,227.13355656066332
5,0,142.5972573398879
5,1,99.76691333076491
5,2,184.58102848600822
5,3,108.86931955047487
5,4,87.55958894479971
5,5,210.05582607834256
5,6,178.3833300848491
5,7,164.10517068934752
5,8,191.512483660955
5,9,176.6946465866053
5,10,91.68392295455203
5,11,138.97357840863214
5,12,129.88350766477856
5,13,196.59531221482848
5,14,271.52904650067404
5,15,241.17527776455296
5,16,175.64384102122992
5,17,159.3488065227877
5,18,178.43612197474462
5,19,299.8383050054511
5,20,290.0216718718777
5,21,136.69668759453384
5,22,195.1254634502367
5,23,71.99344116392784
6,0,219.06491304656487
6,1,71.09331594574556
6,2,276.2636462003554
6,3,176.41648711691664
6,4,280.1663364367
6,5,283.13974019818465
6,6,183.8329182717152
6,7,229.17583363133866
6,8,276.51086687218964
6,9,200.2537450611539
6,10,259.9627653125578
